Cycle Day: ,Start Date:,Next Date:,Paths: 
1,1/13/2020,1/29/2020, "5,21,37,53,69,85,110,126,142,158,174,190,206,222"
2,1/14/2020,1/30/2020, "12,28,44,60,76,92,101,117,133,149,165,181,197,213,229"
3,1/15/2020,1/31/2020, "3,19,35,51,67,83,108,124,140,156,172,188,204,220"
4,1/16/2020,2/1/2020, "10,26,42,58,74,90,99,115,131,147,163,179,195,211,227"
5,1/17/2020,2/2/2020, "1,17,33,49,65,81,97,106,122,138,154,170,186,202,218"
6,1/18/2020,2/3/2020, "8,24,40,56,72,88,113,129,145,161,177,193,209,225"
7,1/19/2020,2/4/2020, "15,31,47,63,79,95,104,120,136, 152,168,184,200,216,232"
8,1/20/2020,2/5/2020, "6,22,38,54,70,86,111,127,143,159,175,191,207,223"
9,1/21/2020,2/6/2020, "13,29,45,61,77,93,102,118,134,150,166,182,198,214,230"
10,1/22/2020,2/7/2020, "4,20,36,52,68,84,109,125,141,157,173,189,205,221"
11,1/23/2020,2/8/2020, "11,27,43,59,75,91,100,116,132,148,164,180,196,212,228"
12,1/24/2020,2/9/2020, "2,18,34,50,66,82,107,123,139,155,171,187,203,219"
13,1/25/2020,2/10/2020, "9,25,41,57,73,89,98,114,130,146,162,178,194,210,226"
14,1/26/2020,2/11/2020, "16,32,48,64,80,96,105,121,137,153,169,185,201,217,233"
15,1/27/2020,2/12/2020, "7,23,39,55,71,87,112,128,144,160,176,192,208,224"
16,1/28/2020,2/13/2020, "14,30,46,62,78,94,103,119,135,151,167,183,199,215,231"
