Path,Cycle_Start,Overpass,Cycle
1,2020-01-13,18278,5
2,2020-01-13,18285,12
3,2020-01-13,18276,3
4,2020-01-13,18283,10
5,2020-01-13,18274,1
6,2020-01-13,18281,8
7,2020-01-13,18288,15
8,2020-01-13,18279,6
9,2020-01-13,18286,13
10,2020-01-13,18277,4
11,2020-01-13,18284,11
12,2020-01-13,18275,2
13,2020-01-13,18282,9
14,2020-01-13,18289,16
15,2020-01-13,18280,7
16,2020-01-13,18287,14
17,2020-01-13,18278,5
18,2020-01-13,18285,12
19,2020-01-13,18276,3
20,2020-01-13,18283,10
21,2020-01-13,18274,1
22,2020-01-13,18281,8
23,2020-01-13,18288,15
24,2020-01-13,18279,6
25,2020-01-13,18286,13
26,2020-01-13,18277,4
27,2020-01-13,18284,11
28,2020-01-13,18275,2
29,2020-01-13,18282,9
30,2020-01-13,18289,16
31,2020-01-13,18280,7
32,2020-01-13,18287,14
33,2020-01-13,18278,5
34,2020-01-13,18285,12
35,2020-01-13,18276,3
36,2020-01-13,18283,10
37,2020-01-13,18274,1
38,2020-01-13,18281,8
39,2020-01-13,18288,15
40,2020-01-13,18279,6
41,2020-01-13,18286,13
42,2020-01-13,18277,4
43,2020-01-13,18284,11
44,2020-01-13,18275,2
45,2020-01-13,18282,9
46,2020-01-13,18289,16
47,2020-01-13,18280,7
48,2020-01-13,18287,14
49,2020-01-13,18278,5
50,2020-01-13,18285,12
51,2020-01-13,18276,3
52,2020-01-13,18283,10
53,2020-01-13,18274,1
54,2020-01-13,18281,8
55,2020-01-13,18288,15
56,2020-01-13,18279,6
57,2020-01-13,18286,13
58,2020-01-13,18277,4
59,2020-01-13,18284,11
60,2020-01-13,18275,2
61,2020-01-13,18282,9
62,2020-01-13,18289,16
63,2020-01-13,18280,7
64,2020-01-13,18287,14
65,2020-01-13,18278,5
66,2020-01-13,18285,12
67,2020-01-13,18276,3
68,2020-01-13,18283,10
69,2020-01-13,18274,1
70,2020-01-13,18281,8
71,2020-01-13,18288,15
72,2020-01-13,18279,6
73,2020-01-13,18286,13
74,2020-01-13,18277,4
75,2020-01-13,18284,11
76,2020-01-13,18275,2
77,2020-01-13,18282,9
78,2020-01-13,18289,16
79,2020-01-13,18280,7
80,2020-01-13,18287,14
81,2020-01-13,18278,5
82,2020-01-13,18285,12
83,2020-01-13,18276,3
84,2020-01-13,18283,10
85,2020-01-13,18274,1
86,2020-01-13,18281,8
87,2020-01-13,18288,15
88,2020-01-13,18279,6
89,2020-01-13,18286,13
90,2020-01-13,18277,4
91,2020-01-13,18284,11
92,2020-01-13,18275,2
93,2020-01-13,18282,9
94,2020-01-13,18289,16
95,2020-01-13,18280,7
96,2020-01-13,18287,14
97,2020-01-13,18278,5
98,2020-01-13,18286,13
99,2020-01-13,18277,4
100,2020-01-13,18284,11
101,2020-01-13,18275,2
102,2020-01-13,18282,9
103,2020-01-13,18289,16
104,2020-01-13,18280,7
105,2020-01-13,18287,14
106,2020-01-13,18278,5
107,2020-01-13,18285,12
108,2020-01-13,18276,3
109,2020-01-13,18283,10
110,2020-01-13,18274,1
111,2020-01-13,18281,8
112,2020-01-13,18288,15
113,2020-01-13,18279,6
114,2020-01-13,18286,13
115,2020-01-13,18277,4
116,2020-01-13,18284,11
117,2020-01-13,18275,2
118,2020-01-13,18282,9
119,2020-01-13,18289,16
120,2020-01-13,18280,7
121,2020-01-13,18287,14
122,2020-01-13,18278,5
123,2020-01-13,18285,12
124,2020-01-13,18276,3
125,2020-01-13,18283,10
126,2020-01-13,18274,1
127,2020-01-13,18281,8
128,2020-01-13,18288,15
129,2020-01-13,18279,6
130,2020-01-13,18286,13
131,2020-01-13,18277,4
132,2020-01-13,18284,11
133,2020-01-13,18275,2
134,2020-01-13,18282,9
135,2020-01-13,18289,16
136,2020-01-13,18280,7
137,2020-01-13,18287,14
138,2020-01-13,18278,5
139,2020-01-13,18285,12
140,2020-01-13,18276,3
141,2020-01-13,18283,10
142,2020-01-13,18274,1
143,2020-01-13,18281,8
144,2020-01-13,18288,15
145,2020-01-13,18279,6
146,2020-01-13,18286,13
147,2020-01-13,18277,4
148,2020-01-13,18284,11
149,2020-01-13,18275,2
150,2020-01-13,18282,9
151,2020-01-13,18289,16
152,2020-01-13,18280,7
153,2020-01-13,18287,14
154,2020-01-13,18278,5
155,2020-01-13,18285,12
156,2020-01-13,18276,3
157,2020-01-13,18283,10
158,2020-01-13,18274,1
159,2020-01-13,18281,8
160,2020-01-13,18288,15
161,2020-01-13,18279,6
162,2020-01-13,18286,13
163,2020-01-13,18277,4
164,2020-01-13,18284,11
165,2020-01-13,18275,2
166,2020-01-13,18282,9
167,2020-01-13,18289,16
168,2020-01-13,18280,7
169,2020-01-13,18287,14
170,2020-01-13,18278,5
171,2020-01-13,18285,12
172,2020-01-13,18276,3
173,2020-01-13,18283,10
174,2020-01-13,18274,1
175,2020-01-13,18281,8
176,2020-01-13,18288,15
177,2020-01-13,18279,6
178,2020-01-13,18286,13
179,2020-01-13,18277,4
180,2020-01-13,18284,11
181,2020-01-13,18275,2
182,2020-01-13,18282,9
183,2020-01-13,18289,16
184,2020-01-13,18280,7
185,2020-01-13,18287,14
186,2020-01-13,18278,5
187,2020-01-13,18285,12
188,2020-01-13,18276,3
189,2020-01-13,18283,10
190,2020-01-13,18274,1
191,2020-01-13,18281,8
192,2020-01-13,18288,15
193,2020-01-13,18279,6
194,2020-01-13,18286,13
195,2020-01-13,18277,4
196,2020-01-13,18284,11
197,2020-01-13,18275,2
198,2020-01-13,18282,9
199,2020-01-13,18289,16
200,2020-01-13,18280,7
201,2020-01-13,18287,14
202,2020-01-13,18278,5
203,2020-01-13,18285,12
204,2020-01-13,18276,3
205,2020-01-13,18283,10
206,2020-01-13,18274,1
207,2020-01-13,18281,8
208,2020-01-13,18288,15
209,2020-01-13,18279,6
210,2020-01-13,18286,13
211,2020-01-13,18277,4
212,2020-01-13,18284,11
213,2020-01-13,18275,2
214,2020-01-13,18282,9
215,2020-01-13,18289,16
216,2020-01-13,18280,7
217,2020-01-13,18287,14
218,2020-01-13,18278,5
219,2020-01-13,18285,12
220,2020-01-13,18276,3
221,2020-01-13,18283,10
222,2020-01-13,18274,1
223,2020-01-13,18281,8
224,2020-01-13,18288,15
225,2020-01-13,18279,6
226,2020-01-13,18286,13
227,2020-01-13,18277,4
228,2020-01-13,18284,11
229,2020-01-13,18275,2
230,2020-01-13,18282,9
231,2020-01-13,18289,16
232,2020-01-13,18280,7
233,2020-01-13,18287,14
