,Polygon,Overpass
0,"['-25.78982094915393,-12.98662023545344', '-27.09013362968005,-12.6977165719889', '-27.93182650468771,-16.24619351435187', '-28.8005012028168,-19.79029445747088', '-28.84566688508297,-19.97102877729214', '-27.49350685898552,-20.26690006958836', '-26.13606227617062,-20.55240649384174', '-26.09416950903218,-20.3713585666984', '-25.282808518472,-16.82180974604065', '-24.48638131390062,-13.26907573528573', '-25.78982094915393,-12.98662023545344']",2020-03-26
1,"['-106.8718310664783,-34.87090744680685', '-108.4193092107599,-34.5500609696515', '-109.5641238217978,-38.05587377367346', '-110.8047943881032,-41.55011977496007', '-111.9277522042758,-44.44968204119702', '-110.1434220236162,-44.80254495426995', '-108.3375153892414,-45.12737679906447', '-107.3806254611075,-42.20797097039799', '-106.3114467971455,-38.6939888982736', '-105.3122333171929,-35.17206799482812', '-106.8718310664783,-34.87090744680685']",2020-03-26
2,"['79.22245228099105,-26.43611038482385', '77.80481270715744,-26.13189203128999', '77.39150013525128,-27.64043971720994', '78.82866020934942,-27.9471334960664', '80.27409670348257,-28.23887722829387', '80.64769768547538,-26.72632805697081', '79.22245228099105,-26.43611038482385']",2020-03-27
3,"['-18.23943250267326,-12.9956459514395', '-19.53979468367962,-12.70673519607144', '-20.38154846848117,-16.25520203752149', '-21.25030043409026,-19.7992909883748', '-21.3488125870458,-20.19296886671695', '-19.99466171472658,-20.48909735652815', '-18.63515215478745,-20.7747358636233', '-18.54380800124282,-20.38037052095154', '-17.73239949006843,-16.83083061438355', '-16.93594095463697,-13.27810386814415', '-18.23943250267326,-12.9956459514395']",2020-03-27
4,"['-99.35803538392538,-35.00185388580049', '-100.9079685515259,-34.68068771255484', '-102.056005396693,-38.18610217940609', '-103.3006607120057,-41.67987982608327', '-104.3431504222721,-44.36999471794366', '-102.5612130321656,-44.72252207590906', '-100.7578061281228,-45.04709548380637', '-99.86956251191597,-42.33854580020731', '-98.79744632568075,-38.82488138072542', '-97.79589442121096,-35.30323750881715', '-99.35803538392538,-35.00185388580049']",2020-03-27
5,"['-121.8104807229923,-25.00608713219035', '-123.210975418222,-24.70404269938021', '-123.6159833227767,-26.21378539752828', '-122.1973205655254,-26.51813339507085', '-120.7710167849239,-26.80842981354734', '-120.402973104527,-25.29500612934645', '-121.8104807229923,-25.00608713219035']",2020-03-27
6,"['-116.9494399912094,-34.89693919260371', '-118.4974042222497,-34.57602938967933', '-119.64285530247,-38.08176320684285', '-120.8843133233311,-41.57591643259322', '-121.7568144236582,-43.84816043714791', '-119.9902989535879,-44.19852956988668', '-118.2029976018564,-44.52144441221365', '-117.4587687473765,-42.23392917251123', '-116.3890116570403,-38.72000995364686', '-115.3893386811099,-35.19814390404307', '-116.9494399912094,-34.89693919260371']",2020-03-28
7,"['95.70399637067938,-20.92523608603948', '94.34585995183586,-20.62859394230394', '93.43476118132593,-24.16611523749778', '92.48063313311891,-27.69728438871798', '91.8305541180829,-29.99699044285697', '93.30128546487437,-30.30795440305943', '94.78144597351496,-30.60242960196599', '95.36478642379157,-28.29587977648024', '96.23027426721259,-24.755845011127', '97.06763874823967,-21.2111414901747', '95.70399637067938,-20.92523608603948']",2020-03-29
8,"['-109.3913582439345,-34.87784061916126', '-110.9389658265294,-34.55697728217095', '-112.083949840135,-38.06276906036089', '-113.3248299926041,-41.55699036612183', '-114.4480015854361,-44.456528556267', '-112.6634655687823,-44.80942036138279', '-110.8573438796152,-45.13427446981032', '-109.900294772469,-42.2148845656779', '-108.830962171023,-38.70091922474234', '-107.8316264049589,-35.17901292355305', '-109.3913582439345,-34.87784061916126']",2020-03-29
9,"['76.82489983827927,-25.96991461674237', '75.41298805500125,-25.66642236890418', '75.00245470361391,-27.17536783297076', '76.4334374905482,-27.48127797898785', '77.87248478534728,-27.77253359973294', '78.24421994070929,-26.2596939039871', '76.82489983827927,-25.96991461674237']",2020-03-30
