"Path"	"Cycle_Start"	"Overpass"	"Cycle"
"1"	1	"01/13/2020"	18279	5
"2"	2	"01/13/2020"	18286	12
"3"	3	"01/13/2020"	18277	3
"4"	4	"01/13/2020"	18284	10
"5"	5	"01/13/2020"	18275	1
"6"	6	"01/13/2020"	18282	8
"7"	7	"01/13/2020"	18289	15
"8"	8	"01/13/2020"	18280	6
"9"	9	"01/13/2020"	18287	13
"10"	10	"01/13/2020"	18278	4
"11"	11	"01/13/2020"	18285	11
"12"	12	"01/13/2020"	18276	2
"13"	13	"01/13/2020"	18283	9
"14"	14	"01/13/2020"	18290	16
"15"	15	"01/13/2020"	18281	7
"16"	16	"01/13/2020"	18288	14
"17"	17	"01/13/2020"	18279	5
"18"	18	"01/13/2020"	18286	12
"19"	19	"01/13/2020"	18277	3
"20"	20	"01/13/2020"	18284	10
"21"	21	"01/13/2020"	18275	1
"22"	22	"01/13/2020"	18282	8
"23"	23	"01/13/2020"	18289	15
"24"	24	"01/13/2020"	18280	6
"25"	25	"01/13/2020"	18287	13
"26"	26	"01/13/2020"	18278	4
"27"	27	"01/13/2020"	18285	11
"28"	28	"01/13/2020"	18276	2
"29"	29	"01/13/2020"	18283	9
"30"	30	"01/13/2020"	18290	16
"31"	31	"01/13/2020"	18281	7
"32"	32	"01/13/2020"	18288	14
"33"	33	"01/13/2020"	18279	5
"34"	34	"01/13/2020"	18286	12
"35"	35	"01/13/2020"	18277	3
"36"	36	"01/13/2020"	18284	10
"37"	37	"01/13/2020"	18275	1
"38"	38	"01/13/2020"	18282	8
"39"	39	"01/13/2020"	18289	15
"40"	40	"01/13/2020"	18280	6
"41"	41	"01/13/2020"	18287	13
"42"	42	"01/13/2020"	18278	4
"43"	43	"01/13/2020"	18285	11
"44"	44	"01/13/2020"	18276	2
"45"	45	"01/13/2020"	18283	9
"46"	46	"01/13/2020"	18290	16
"47"	47	"01/13/2020"	18281	7
"48"	48	"01/13/2020"	18288	14
"49"	49	"01/13/2020"	18279	5
"50"	50	"01/13/2020"	18286	12
"51"	51	"01/13/2020"	18277	3
"52"	52	"01/13/2020"	18284	10
"53"	53	"01/13/2020"	18275	1
"54"	54	"01/13/2020"	18282	8
"55"	55	"01/13/2020"	18289	15
"56"	56	"01/13/2020"	18280	6
"57"	57	"01/13/2020"	18287	13
"58"	58	"01/13/2020"	18278	4
"59"	59	"01/13/2020"	18285	11
"60"	60	"01/13/2020"	18276	2
"61"	61	"01/13/2020"	18283	9
"62"	62	"01/13/2020"	18290	16
"63"	63	"01/13/2020"	18281	7
"64"	64	"01/13/2020"	18288	14
"65"	65	"01/13/2020"	18279	5
"66"	66	"01/13/2020"	18286	12
"67"	67	"01/13/2020"	18277	3
"68"	68	"01/13/2020"	18284	10
"69"	69	"01/13/2020"	18275	1
"70"	70	"01/13/2020"	18282	8
"71"	71	"01/13/2020"	18289	15
"72"	72	"01/13/2020"	18280	6
"73"	73	"01/13/2020"	18287	13
"74"	74	"01/13/2020"	18278	4
"75"	75	"01/13/2020"	18285	11
"76"	76	"01/13/2020"	18276	2
"77"	77	"01/13/2020"	18283	9
"78"	78	"01/13/2020"	18290	16
"79"	79	"01/13/2020"	18281	7
"80"	80	"01/13/2020"	18288	14
"81"	81	"01/13/2020"	18279	5
"82"	82	"01/13/2020"	18286	12
"83"	83	"01/13/2020"	18277	3
"84"	84	"01/13/2020"	18284	10
"85"	85	"01/13/2020"	18275	1
"86"	86	"01/13/2020"	18282	8
"87"	87	"01/13/2020"	18289	15
"88"	88	"01/13/2020"	18280	6
"89"	89	"01/13/2020"	18287	13
"90"	90	"01/13/2020"	18278	4
"91"	91	"01/13/2020"	18285	11
"92"	92	"01/13/2020"	18276	2
"93"	93	"01/13/2020"	18283	9
"94"	94	"01/13/2020"	18290	16
"95"	95	"01/13/2020"	18281	7
"96"	96	"01/13/2020"	18288	14
"97"	97	"01/13/2020"	18279	5
"98"	98	"01/13/2020"	18287	13
"99"	99	"01/13/2020"	18278	4
"100"	100	"01/13/2020"	18285	11
"101"	101	"01/13/2020"	18276	2
"102"	102	"01/13/2020"	18283	9
"103"	103	"01/13/2020"	18290	16
"104"	104	"01/13/2020"	18281	7
"105"	105	"01/13/2020"	18288	14
"106"	106	"01/13/2020"	18279	5
"107"	107	"01/13/2020"	18286	12
"108"	108	"01/13/2020"	18277	3
"109"	109	"01/13/2020"	18284	10
"110"	110	"01/13/2020"	18275	1
"111"	111	"01/13/2020"	18282	8
"112"	112	"01/13/2020"	18289	15
"113"	113	"01/13/2020"	18280	6
"114"	114	"01/13/2020"	18287	13
"115"	115	"01/13/2020"	18278	4
"116"	116	"01/13/2020"	18285	11
"117"	117	"01/13/2020"	18276	2
"118"	118	"01/13/2020"	18283	9
"119"	119	"01/13/2020"	18290	16
"120"	120	"01/13/2020"	18281	7
"121"	121	"01/13/2020"	18288	14
"122"	122	"01/13/2020"	18279	5
"123"	123	"01/13/2020"	18286	12
"124"	124	"01/13/2020"	18277	3
"125"	125	"01/13/2020"	18284	10
"126"	126	"01/13/2020"	18275	1
"127"	127	"01/13/2020"	18282	8
"128"	128	"01/13/2020"	18289	15
"129"	129	"01/13/2020"	18280	6
"130"	130	"01/13/2020"	18287	13
"131"	131	"01/13/2020"	18278	4
"132"	132	"01/13/2020"	18285	11
"133"	133	"01/13/2020"	18276	2
"134"	134	"01/13/2020"	18283	9
"135"	135	"01/13/2020"	18290	16
"136"	136	"01/13/2020"	18281	7
"137"	137	"01/13/2020"	18288	14
"138"	138	"01/13/2020"	18279	5
"139"	139	"01/13/2020"	18286	12
"140"	140	"01/13/2020"	18277	3
"141"	141	"01/13/2020"	18284	10
"142"	142	"01/13/2020"	18275	1
"143"	143	"01/13/2020"	18282	8
"144"	144	"01/13/2020"	18289	15
"145"	145	"01/13/2020"	18280	6
"146"	146	"01/13/2020"	18287	13
"147"	147	"01/13/2020"	18278	4
"148"	148	"01/13/2020"	18285	11
"149"	149	"01/13/2020"	18276	2
"150"	150	"01/13/2020"	18283	9
"151"	151	"01/13/2020"	18290	16
"152"	152	"01/13/2020"	18281	7
"153"	153	"01/13/2020"	18288	14
"154"	154	"01/13/2020"	18279	5
"155"	155	"01/13/2020"	18286	12
"156"	156	"01/13/2020"	18277	3
"157"	157	"01/13/2020"	18284	10
"158"	158	"01/13/2020"	18275	1
"159"	159	"01/13/2020"	18282	8
"160"	160	"01/13/2020"	18289	15
"161"	161	"01/13/2020"	18280	6
"162"	162	"01/13/2020"	18287	13
"163"	163	"01/13/2020"	18278	4
"164"	164	"01/13/2020"	18285	11
"165"	165	"01/13/2020"	18276	2
"166"	166	"01/13/2020"	18283	9
"167"	167	"01/13/2020"	18290	16
"168"	168	"01/13/2020"	18281	7
"169"	169	"01/13/2020"	18288	14
"170"	170	"01/13/2020"	18279	5
"171"	171	"01/13/2020"	18286	12
"172"	172	"01/13/2020"	18277	3
"173"	173	"01/13/2020"	18284	10
"174"	174	"01/13/2020"	18275	1
"175"	175	"01/13/2020"	18282	8
"176"	176	"01/13/2020"	18289	15
"177"	177	"01/13/2020"	18280	6
"178"	178	"01/13/2020"	18287	13
"179"	179	"01/13/2020"	18278	4
"180"	180	"01/13/2020"	18285	11
"181"	181	"01/13/2020"	18276	2
"182"	182	"01/13/2020"	18283	9
"183"	183	"01/13/2020"	18290	16
"184"	184	"01/13/2020"	18281	7
"185"	185	"01/13/2020"	18288	14
"186"	186	"01/13/2020"	18279	5
"187"	187	"01/13/2020"	18286	12
"188"	188	"01/13/2020"	18277	3
"189"	189	"01/13/2020"	18284	10
"190"	190	"01/13/2020"	18275	1
"191"	191	"01/13/2020"	18282	8
